iter	Passed	Remaining
0	32	32514
1	61	30516
2	93	31072
3	124	30894
4	155	30849
5	187	31047
6	217	30872
7	251	31231
8	282	31142
9	314	31114
10	345	31061
11	374	30821
12	405	30786
13	437	30831
14	468	30752
15	500	30775
16	531	30717
17	563	30721
18	592	30603
19	623	30529
20	654	30514
21	685	30484
22	718	30506
23	748	30429
24	779	30392
25	811	30391
26	842	30350
27	876	30412
28	904	30282
29	938	30345
30	998	31204
31	1143	34582
32	1196	35073
33	1278	36317
34	1384	38170
35	1500	40185
36	1584	41238
37	1642	41581
38	1676	41318
39	1707	40979
40	1735	40590
41	1777	40554
42	1819	40496
43	1851	40224
44	1882	39944
45	1912	39672
46	1948	39499
47	1980	39287
48	2011	39036
49	2046	38887
50	2085	38805
51	2117	38607
52	2150	38420
53	2195	38468
54	2246	38595
55	2291	38635
56	2329	38540
57	2360	38340
58	2392	38153
59	2426	38019
60	2473	38074
61	2518	38104
62	2564	38139
63	2604	38095
64	2635	37903
65	2667	37752
66	2713	37780
67	2752	37725
68	2797	37748
69	2840	37733
70	2882	37721
71	2922	37666
72	2953	37503
73	2984	37351
74	3014	37184
75	3044	37010
76	3074	36853
77	3122	36904
78	3163	36879
79	3213	36958
80	3257	36962
81	3288	36816
82	3321	36698
83	3352	36559
84	3383	36419
85	3409	36238
86	3438	36083
87	3470	35962
88	3501	35836
89	3547	35872
90	3588	35850
91	3636	35889
92	3678	35874
93	3707	35737
94	3739	35624
95	3771	35515
96	3816	35528
97	3861	35539
98	3901	35508
99	3939	35452
100	3972	35354
101	4002	35237
102	4032	35121
103	4066	35033
104	4100	34954
105	4140	34924
106	4184	34923
107	4228	34927
108	4266	34874
109	4299	34789
110	4330	34683
111	4362	34589
112	4391	34471
113	4420	34358
114	4465	34362
115	4511	34379
116	4556	34387
117	4595	34350
118	4628	34269
119	4659	34168
120	4690	34070
121	4720	33970
122	4749	33864
123	4781	33781
124	4818	33726
125	4856	33689
126	4905	33718
127	4957	33770
128	4997	33744
129	5028	33652
130	5059	33563
131	5091	33483
132	5133	33463
133	5165	33384
134	5196	33298
135	5228	33216
136	5268	33189
137	5315	33201
138	5362	33218
139	5408	33223
140	5439	33138
141	5473	33073
142	5505	32991
143	5533	32894
144	5560	32790
145	5594	32725
146	5626	32646
147	5657	32571
148	5689	32493
149	5722	32426
150	5790	32554
151	5835	32558
152	5879	32547
153	5933	32597
154	5966	32528
155	5998	32454
156	6031	32387
157	6065	32325
158	6097	32249
159	6127	32168
160	6155	32079
161	6187	32004
162	6218	31933
163	6249	31854
164	6287	31818
165	6332	31816
166	6373	31790
167	6413	31762
168	6448	31707
169	6480	31639
170	6509	31557
171	6542	31494
172	6571	31415
173	6602	31342
174	6632	31266
175	6664	31200
176	6695	31133
177	6728	31072
178	6763	31022
